id,domain,source_type,datestamp,content,,
1,facebook.com,social media,6/7/2026 0:00,"කොහොමද පුණරුදය දැන් සනීපද
ජනාධිපති අනුර යටතේ 2025 වසරේ ඩොලර් මිලියන 808ක් අතුරුදහන්. IMF කියයි. අනුරගේ තවන් හොරකමක්. සිවිල් සංවිධාන කියයි.
",,
2,facebook.com,social media,,"යෝෂිත රාජපක්ෂට දැන් තියෙන්නේ තමන් නාවික හමුදාවට සහ බ්‍රිතාන්‍යයේ පුහුණුවකට ගියේ නිසි සුදුසුකම් ඇතිව කියලා සහතික පත්‍ර පෙන්වා ඔප්පු කරන්න ""
හිටපු කථානායක අශෝක රන්වල
",,
3,facebook.com,social media,,"ප්‍රභාකරන්ගේ බාල දරුවා ඝාතනය කිරීම මොන තරම් නින්දිත වැඩක් ? යුද්ධයේ අන්තිම දවස් වල මම හිටියේ චීනයේ. ගෝඨා, කමල්, ශවේන්ද්‍ර, චාගි හිතේ හැටියට යුධ අපරාධ කරා. කරුණාගේ ප්ල්ලෙයාන්ගේ ටීම් නැගෙනහිර ඉඳලා ගිහින් මේවාට සම්බන්ද උනා. අන්තිම දවස් දෙක තුනම යුද හමුදාව තිබුනේ මගේ පාලනයේ නෙවෙයි ""
ෆීල්ඩ් මාර්ෂල් සරත් ෆොන්සේකා මැතිතුමා ප්‍රසිද්ධ යූ ටියුබ් නාලිකාවක් සමග සම්මුඛ වෙමින්
",,
4,facebook.com,social media,6/22/2026 0:00,"පාස්කු ප්‍රහාරයේ පූර්ව බුද්ධි තොරතුරු සහ කාදිනල්තුමාගේ භූමිකාව පිළිබඳව දැඩි කතාබහක්
2019 වසරේ සිදුවූ පාස්කු ඉරිදා ත්‍රස්ත ප්‍රහාරය සම්බන්ධයෙන් වන පූර්ව බුද්ධි තොරතුරු ලැබීම සහ ඒ අනුව ක්‍රියා කිරීම පිළිබඳව සමාජය තුළ නැවතත් දැඩි කතාබහක් නිර්මාණය වී තිබේ. මෙම සිදුවීමට අදාළව, එකල ශ්‍රී ලංකා පොලීසියේ විශේෂ ආරක්ෂක දිසාව භාරව කටයුතු කළ හිටපු ජ්‍යෙෂ්ඨ නියෝජ්‍ය පොලිස්පති ප්‍රියලාල් දසනායක මහතා සහ කොළඹ අගරදගුරු අතිඋතුම් මැල්කම් රංජිත් කාදිනල් හිමිපාණන් අතර පවතින සම්බන්ධය මෙන්ම එකල දේශපාලන අධිකාරියේ හැසිරීම පිළිබඳව නව කරුණු රැසක් අනාවරණය වෙමින් පවතී.
පාස්කු ඉරිදා ප්‍රහාරය එල්ල වන සමයේ විශේෂ ආරක්ෂක දිසාව භාරව සිටි ජ්‍යෙෂ්ඨ නියෝජ්‍ය පොලිස්පති ප්‍රියලාල් දසනායක මහතා, රාජ්‍ය බුද්ධි සේවයෙන් තමන් වෙත ලැබුණු තොරතුරකට අනුව 2019 අප්‍රේල් 11 වැනි දින විශේෂ ආරක්ෂක නිවේදනයක් නිකුත් කර තිබිණි. ඔහු විසින් අමාත්‍ය ආරක්ෂක කොට්ඨාසය, අධිකරණ ආරක්ෂක කොට්ඨාසය සහ රාජ්‍ය තාන්ත්‍රික ආරක්ෂක කොට්ඨාසය ඇතුළු අංශ රැසක අධ්‍යක්ෂවරුන් වෙත නිල ලිපි මගින් ප්‍රහාරයේ අවදානම පෙන්වා දෙමින් ආරක්ෂාව දැඩි කරන ලෙස උපදෙස් දී තිබූ අතර, ඒව ""ආගමික නායකයන්ගේ"" ආරක්ෂාව ද ඇතුළත් විය. පාස්කු ප්‍රහාරය පිළිබඳව පසුව සිදු කෙරුණු විමර්ශන කොමිෂන් සභාවලදී හෙළි වූයේ, ප්‍රහාරයට පෙර බුද්ධි තොරතුරු ලැබීමට පසු ඒ පිළිබඳව ලිඛිත යම් හෝ පියවරක් ගත් එකම පොලිස් නිලධාරියා ඔහු බවයි.
මෙම ආරක්ෂක නිවේදනයේ සඳහන් ""ආගමික නායකයන්"" යන හැඳින්වීමට කතෝලික සභාවේ ප්‍රධානියා වන කාදිනල් මැල්කම් රංජිත් පියතුමා ද ඇතුළත් වන බැවින්, ප්‍රහාර ආරක්ෂාව භාරව සිටි දසනායක මහතා විසින් කාදිනල්තුමාව මේ පිළිබඳව දැනුවත් නොකළේ යැයි සිතීමට කිසිදු හේතුවක් නොමැති බව විචාරකයෝ පෙන්වා දෙති. කතෝලික සභාව විසින් මේ දක්වා අදාළ නිලධාරියාට එරෙහිව කිසිදු චෝදනාවක් එල්ල නොකිරීම ද මෙයට සාක්ෂියක් ලෙස ඔවුහු දක්වති. එමෙන්ම, වත්මන් රජය විසින් හිටපු ජ්‍යෙෂ්ඨ නියෝජ්‍ය පොලිස්පතිවරයාගෙන් මේ පිළිබඳව ප්‍රශ්න කිරීමක් ලබා ගත යුතු වුවද, කිසිවකු ඒ සඳහා උත්සාහ නොකිරීම ද සැලකිය යුතු කරුණකි.
මේ අතර, එකල පැවති රජයේ අමාත්‍යවරයෙකු වූ හරින් ප්‍රනාන්දු මහතාට ප්‍රහාරය පිළිබඳව තොරතුරු ලැබී තිබුණේ අවිධිමත් මාර්ගයකිනි. විමර්ශන කොමිෂන්වලදී හෙළි වූ ආකාරයට, ප්‍රහාරයට පෙර දින රාත්‍රියේ අපරාධ විමර්ශන දෙපාර්තමේන්තුවේ (C.I.D.) විශේෂ විමර්ශන නිලධාරියෙකු වූ සාජන්ට් නන්දලාල් විසින් නවලෝක රෝහලේ ප්‍රතිකාර ලබමින් සිටි හරින් ප්‍රනාන්දු මහතාගේ පියා වන නිහාල් ප්‍රනාන්දු මහතා වෙත දරුකරු අදහස්මක ලා දී මෙම අනතුරු ඇඟවීම සිදු කර තිබුණි. මාවනැල්ල බුදුපිළිම කැඩීම සහ වනාතවිල්ලුව අවි ගබඩාව වැනි ඉස්ලාමීය අන්තවාදී විපරීත රැයකට සම්බන්ධ වී සිටි වෙබ් නිලධාරියා, බුල්ලා වා-චා පැමිණිල්ලක් විමර්ශනය කිරීමේදී ඇති කරගත් පෞද්ගලික හිතවත්කමක් මත මෙම තොරතුරු ලබා දී තිබූ අතර, පසුව පියාගෙන් දැනගත් තොරතුරු මත අමාත්‍යවරයාගේ සහෝදරිය විසින් ඔහුව දැනුවත් කර තිබේ.
මෙවැනි පසුබිමක, කාදිනල් මැල්කම් රංජිත් හිමිපාණන්ගේ හැසිරීම පිළිබඳව ද බරපතල ප්‍රශ්න මතුවේ. 2009 වසරේ කොළඹ අගරදගුරු පදවියට පත්වීමෙන් පසු සෑම වසරකම පාස්කු ඉරිදා පෙරවරු දේවමෙහෙයට සහභාගි වූ කාදිනල්තුමා, සහභාගි නොවූ එකම වසර 2019 වසරයි. සිරිල් ගාමිණි පියතුමා ප්‍රකාශ කර ඇති පරිදි කාදිනල්තුමා එදින පෙරවරුවේ තමන් රැඳී සිටි ස්ථානයක පූජා පවත්ව ඇති අතර, කොච්චිකඩේ සෙන්ට් ලුසියා කැතීඩ්‍රලයේ පූජාවට සහභාගි වීමට එතුමාට කිසිදු කායික බාධාවක් තිබී නොමැත. කතෝලික බැතිමතුන් සහ දේවස්ථාන ඉලක්ක කර ගනිමින් ප්‍රහාරයක් එල්ල වන බවට නිශ්චිත බුද්ධි තොරතුරු ලැබී තිබියදී, තමන් වහන්සේ දේවමෙහෙයට සහභාගි වීමෙන් වැළකී සිටි නමුත් අනෙකාගේ පොදු දේවමෙහෙයන් නතර කිරීමට පියවර නොගත්තේ මන්ද යන්න මෙහිදී නැගෙන ප්‍රධාන ප්‍රශ්නයයි.
පවතින තත්ත්වය තුළ, විචාරකයන් පවසන්නේ සැබෑ වගකිවයුත්තන් සෙවීම පසෙක ලා, පෙර විමර්ශන සිදුකළ සහ මේ වන විට වේදනාාවට ලක්ව සිටින නිලධාරීන් ලවා වත්මන් රජය හරහා වෙනත් පාර්ශව වෙත වරද පැටවීමේ උත්සාහයක් ක්‍රියාත්මක වන බවයි. මෙවැනි ප්‍රහාරයේ සැබෑ දේශපාලන සහ ආගමික පසුබිම යටපත් කරමින්, සිංහල බෞද්ධ සමාජය වෙත වරද පැටවීමේ සුක්ෂම වැඩපිළිවෙළක් පවතින බවට ද චෝදනා එල්ල වේ.
දුලාර ගුණතිලක
",,
5,facebook.com,social media,6/16/2026 0:00,"පුතා නිතරම කිව්වේ තාත්ති අපි නාකි මයිනා(මහින්ද) මැරුණාම හොඳට සෙලිබ්‍රේට් කරමු කියලා.. එයා මැරෙන්න දවස් කීපයකට කලිනුත් මට එහෙම කිව්වා.. ඒත් අන්තිමට එයාගේ මළගෙදරට මහින්ද ආවා. මට මේ හැම දෙයක්ම දැන් එපා වෙලා ඉන්නේ ""
නීතිඥ උපුල් කුමාරප්පෙරුම හදිසියේ මියගිය තම ආදරණීය පුත්‍රයා ගැන පැවසූ අදහස්
",,
6,facebook.com,social media,6/13/2026 0:00,රටේ ආර්ථිකය සුන්.. නන්දලාල් පලමුවරට පිලිගනී…අද මහ බැංකු අධිපති පාර්ලිමේන්තුවට ආවා… ඒ අස්සේ මන්ත්‍රීවරුන් නන්දලාල්ව වටකරගෙන ප්‍රශ්ණ ඇහුවා… “මහ බැංකු අධිපතිතුමා රටේ ආර්ථික වැටෙනවාද? රටට කියන්න ඔබතුමාට බෑ කියලා අපි දන්නවා අපිට කියන්න… ඔබතුමා මේ ඉදිපත් කරපු වාර්තා වලින් පේනවා ආර්ථිකය වැටෙනවා කියලා.. දැන් තියෙන්නේ ගෝඨාභය රාජපක්ෂ අවසන් කාලයේ විදියමයි..,,
7,facebook.com,social media,,දැන්නම් පුතේ ජෙප්පො කියන්නෙත් කොටි ත්‍රස්ත වාදීන් බව හොදටම පැහැදිලියි නෙද ? මුන් දෙමල ඩයස් පොරාවට ඔන දෙවල් කරන්නේ අනිවාර්යයෙන්ම මුන් කොටි නැට්ටනව එකෙ දෙකක් නැ මෙක මහ කාලකන්නි ආන්ඩුවක් ��,,
8,facebook.com,social media,,"
ඇ බන් මෙව හොයන්න කලින් ජෙප්පො 88 89 කාලෙ බැංකු කඩල ගත්තු රත්තරන් ගැනත් හෙවුනම් නරකද �.මුන් අනුන්ගේ එව හොයන්නේ තමන් හරි සුද#නො වගේ .ජෙප්පො හිතාගෙන ඉන්නේ රටෙ ජනතාව මැරිල ඉපදුනා කියලද .� මුන් වැඩකරන්නේ දෙමල ඩයස් පොරාවට ඔනකරන විදිහට රටෙ රනවිරුවෝ පාවල දෙන්න �. මතක තියාගනිල්ල උබල හොරකන් කලේ මේ රටේ අහිංසක ජනතාවගෙ දෙපල කියල කාලකන්නි පර හැත්ත ��
",,
9,facebook.com,social media,,"මෙය ඉන්දියාවේ වුවත් අවධානය වටී. ඉන්දියාවට යන්නෙ නම් සැළකිලිමත් වන්න
හදිසි නිවේදනයක්
ගුවන් තොටුපළ හදිසි අනතුරු ඇඟවීමක්. කරුණාකර කියවා බෙදා හරින්න.
පොලීසියට ලැබී ඇති තොරතුරු අනුව, පොදු ස්ථාන, ගුවන් තොටුපළවල් සහ ඉන්ධන පිරවුම්හල්වල ලස්සන යතුරු රැඳවුම්යන් (Keychains) විකිණීමේ නිරත අපරාධ කණ්ඩායමක් සිටි. ඔවුන් සමහර අවස්ථාවලදී තමන් අලෙවි ප්‍රවර්ධකයින් බව පවසමින් නොමිලේ යතුරු රැඳවුම්යන් ද ලබා දෙති. මෙම යතුරු රැඳවුම්යන් කොතරම් ආකර්ෂණීය වුවද, කරුණාකර ඒවා මිලදී ගැනීමෙන් හෝ භාර ගැනීමෙන් වළකින්න.
මෙම යතුරු රැඳවුම්යන් තුළ ඔබව ඔබගේ නිවසට හෝ ඔබගේ වාහනය නවත්වා ඇති ස්ථානයට ලුහුබැඳ යාමට උපකාරී වන ලුහුබැඳීමේ චිපයක් (Tracking Chip) සවි කර ඇති බව වාර්තා වේ. ඒවා ඉතා ආකර්ෂණීය බැවින් මිලදී නොගෙන සිටීම අපහසු විය හැකිය. එහෙත් ඒවා භාර ගැනීමෙන් ඔබගේ ජීවිතයට අනතුරක් ඇති විය හැකිය.
",,
10,whatsapp,social media,,"හදිසි නිවේදනයක්
ගුවන් තොටුපළ හදිසි අනතුරු ඇඟවීමක්. කරුණාකර කියවා බෙදා හරින්න.
පොලීසියට ලැබී ඇති තොරතුරු අනුව, පොදු ස්ථාන, ගුවන් තොටුපළවල් සහ ඉන්ධන පිරවුම්හල්වල ලස්සන යතුරු රැඳවුම්යන් (Keychains) විකිණීමේ නිරත අපරාධ කණ්ඩායමක් සිටි. ඔවුන් සමහර අවස්ථාවලදී තමන් අලෙවි ප්‍රවර්ධකයින් බව පවසමින් නොමිලේ යතුරු රැඳවුම්යන් ද...
",,
