id,domain,source_type,datestamp,content,,
1,gosip.hirufm.lk,news website,10/22/2020 0:00,"මට්ටකුළිය,මෝදර, බ්ලූමැන්ඩල්, වැල්ලම්පිටිය, ග්‍රෑන්ඩ්පාස් පොලිස් බලප්‍රදේශ 05 සඳහා වහාම ක්‍රියාත්මක වන පරිදි පොලිස් ඇඳිරි නීතිය පනවා තිබෙනවා.",,
2,aruna.lk,news website,10/30/2020 0:00,"නිරෝධායන ඇඳිරි නීතිය ක්‍රියාත්මක සමයේ බස්නාහිර පළාතට ඇතුළුවන සෑම ස්ථානයකම විශේෂ පොලිස් මාර්ග බාධක යොදවන බව පොලිස් මාධ්‍ය ප්‍රකාශක නියෝජ්‍ය පොලිස්පති අජිත් රෝහණ සඳහන් කළේය.ඒ අනුව නිරෝධායන ඇඳිරි නීතිය ක්‍රියාත්මක වන කාලයේදී අත්‍යවශ්‍ය රාජකාරි කටයුතුවල නිරත වන පිරිස් හැරුණු විට වෙනත් කිසිදු අයකුට බස්නාහිර පළාතට ඇතුළුවීමට හෝ පිටවීමට අවසරයක් නොලැබෙන බවද මාධ්‍ය ප්‍රකාශකවරයා පැවැසීය.අත්‍යවශ්‍ය රාජකාරි ලෙස සෞඛ්‍ය, ජලය, විදුලිය, සන්නිවේදන, මාධ්‍ය, ඖෂධ, වරාය හා ගුවන් තොටුපොළ ආදී කටයුතු නම්කර තිබෙන බවද හෙතෙම සඳහන් කළේය.ඉෂාර රත්නකාර",,
3,asianmirror.lk,news website,11/2/2020 0:00,"නිරෝධායන ඇඳිරිනීතිය පැනවීම හේතුවෙන් ජිවනෝපාය අහිමි වූ ගම්පහ දිස්ත්‍රික්කයේ පවුල් සඳහා රුපියල් 5000 දිමනාව ලබාදීමේ දෙවන අදියර ලබන 03 වනදා සිට ලබාදීමට නියමිතව තිබේ.  එම දිමනාව සතියක කාලයක් තුළ ලබාදී අවසන් කරන ලෙස ප්‍රසන්න රණතුංග අමාත්‍යවරයා විසින් ප්‍රාදේශීය ලේකම්වරුන් වෙත උපදෙස් ලබාදී ඇති බව සංචාරක අමාත්‍යාංශය නිවේදනය කළේය.  දෙවන අදියර යටතේ ගම්පහ දිස්ත්‍රික්කයේ පවුල් 464,254 දෙනෙකු රුපියල් 5000 දිමනාව ලබාගැනිමට සුදුසුකම් ලබා තිබේ.  මේ අතර පළමු අදියර යටතේ නිරෝධායන ඇඳිරිනීතිය ක්‍රියාත්මක වූ ගම්පහ දිස්ත්‍රික්කයේ පොලිස් බලප්‍රදේශ 03ක පවුල් 80,000 ක් සඳහා මේ වන විටත් රුපියල් 5000 දිමනාව ලබාදී ඇති බව සංචාරක අමාත්‍යාංශය වැඩිදුරටත් සඳහන් කළේය.",,
4,gosip-lankanews.com,news website,10/24/2020 0:00,"මෙරට 15 වන කොරෝනා මරණය සිදුව ඇති බව වාර්තා වනවා. මෙලෙස මියගොස් ඇත්තේ කුලියාපිටිය ප්‍රදේශයේ පදිංචිකරුවෙක් බවයි සෞඛ්‍ය අංශ සඳහන් කරන්නේ.මෙලෙස මියගොස් ඇත්තේ කුලියාපිටිය රෝහලේ දැඩි සත්කාර ඒකකයේ ප්‍රතිකාර ලබමින් සිටි කුලියාපිටිය, උණලීය ප්‍රදේශයේ පදිංචි 56 හැවිරිදි පුද්ගලයෙකු බවයි සෞඛ්‍ය අංශ වැඩිදුරටත් සඳහන් කර සිටියේ.",,
5,hirunews.lk,news website,11/2/2020 0:00,ඇඳිරි නීතිය පවතින අතරතුර අත්‍යවශ්‍ය භාණ්ඩ බෙදාහැරීමේ කටයුතු සඳහා ඇඳිරි නීති බලපත්‍ර ලබාදීමේ ක්‍රමවේදයක් පොලිසිය විසින් හඳුන්වාදී තිබෙනවා..පොලිස් මාධ්‍ය ප්‍රකාශක නියෝජ්‍ය පොලිස්පති අජිත් රෝහණ කියාසිටියේ අදාළ අයදුම්පත්‍රය පුරවා එවීම තුලින් බලපත්‍ර ලබාගැනීමට හැකියාව ලැබෙන බවයි.,,
6,gosip-lankanews.com,news website,10/22/2020 0:00,"20 වන ආණ්ඩුක්‍රම ව්‍යවස්ථා සංශෝධන පනත් කෙටුම්පතේ දෙවන වර කියවීම වැඩි ඡන්දයෙන් සම්මත විය.එහිදී පනත් කෙටුම්පතට පක්ෂව ඡන්ද 156ක් සහ විපක්ෂව ඡන්ද 65ක් හිමි විය.ඒ අනුව තුනෙන් දෙකක බහුතර ඡන්දයකින් එම පනත් කෙටුම්පතෙහි දෙවන වර කියවීම මීට සුළු වේලාවකට පෙර පාර්ලිමේන්තුවේදී සම්මත විය.පාර්ලිමේන්තු මන්ත්‍රිනී ඩයනා ගමගේ ඇතුළු සමගි ජනබලවේගයට සහය පළ කරන දේශපාලන පක්ෂ කිහිපයක මන්ත්‍රීවරු පනත් කෙටුම්පතට පක්ෂව ඡන්දය ප්‍රකාශ කළහ.හිටපු ජනාධිපති, ආණ්ඩු පක්ෂ පාර්ලිමේන්තු මන්ත්‍රී මෛත්‍රීපාල සිරිසේන මහතා ඡන්දය විමසන අවස්ථාවේ සභාවේ නොසිටි බව වාර්තා වේ.එම පනත් කෙටුම්පතෙහි කාරක සභා අවස්ථාව මේ වනවිට පැවැත් වේ.ඉන් අනතුරුව තෙවනවර ඡන්ද විමසීම පැවැත් වේ.",,
7,mawbima.lk,news website,11/4/2020 0:00,"විචිත්‍ර වීරසිංහ
ව්‍යාජ ලෙසින් සැකසූ වීසා බලපත්‍ර ලබා දෙමින් ශ්‍රී  ලංකා පළමු පෙළ ක්‍රිකට් ක්‍රීඩකයන්ගෙන් ඩොලර් දහස් ගණනින් අය කරමින් වංචාකාරී ක්‍රියාවලියක නිරත වූ ශ්‍රී  ලාංකික රැකියා නියෝජිතයකු සම්බන්ධයෙන් ඕස්ට්‍රේලියානු ප්‍රධාන පෙළේ පුවත්පතක් වන ‘හැරල්ඩ් සන්’ පුවත්පත පසුගියදා සිදුකරන ලද අනාවරණය විශාල ආන්දෝලනයක් ඇති කළ සිදුවීමක් බවට පත්විය. එහෙත් මෙවන් අකටයුතුකම් වැළැක්වීමේ අරමුණින් ශ්‍රී ලංකා ක්‍රිකට් ආයතනය විශේෂ පියවරක් ගෙන ඇති බව වාර්තා වේ. 
එහිදී ශ්‍රී  ලංකා ක්‍රිකට් ආයතන ලේකම් මොහාන් ද සිල්වා මහතාගේ මැදිහත්වීම යටතේ මෙරට නැඟී එන යොවුන් ක්‍රීඩකයන් 8 දෙනකු ඕස්ට්‍රේලියානු දේශීය ක්‍රිකට් තරගාවලිය සඳහා සහභාගි කරවීම වෙනුවෙන් ගිවිසුම් අස්සන් කර ඇති බව දැනගන්නට ඇත. එහිදී මෙම වසරේ ඔක්තෝබර් සිට මාර්තු මාසය දක්වා පැවැත්වීමට නියමිතව තිබූ ඕස්ටේලියානු දේශීය ක්‍රිකට් තරගාවලියේදී ඩැන්ඩිනොන් ලීග් ක්‍රිකට් තරගාවලිය සඳහා මෙම ක්‍රීඩකයන් සහභාගි කරවීමට කටයුතු යොදා තිබිණි. 
එම තරගාවලියට සහභාගි කරවීම සඳහා මෙම ක්‍රීඩකයන් පිරිස පසුගිය සැප්තැම්බර් මස ඕස්ට්‍රේලියාව බලා පිටත්වීමට නියමිතව තිබුණද කොවිඩ්-19 වසංගතය හේතුවෙන් මෙම වැඩසටහන පසුවට කල් දැමීමට සිදුව තිබේ.
කෙසේ වෙතත් 2018 වසරේ සිට මොහාන් ද සිල්වා මහතා මෙම වැඩසටහන දියත් කිරීම සඳහා ඕස්ට්‍රේලියානු ක්‍රිකට් බලධාරීන් සමඟ කළ සාකච්ඡාවක ප්‍රතිඵලයක් ලෙස පසුගිය වසරේදී මෙයට එකඟතාවය හිමිවූ අතර, මෙම ගිවිසුම වසර 3ක් දක්වා (2022 වසරේ ජුනි මාසය දක්වා) බලපැවැත්වීමට නියමිතය. 
දෙරට අතර විශේෂ ක්‍රීඩක හුවමාරු වැඩසටහනක් යටතේ නිශ්චිත ක්‍රමවේදයකට අනුව මෙම ගිවිසුමට ශ්‍රී  ලංකා ක්‍රිකට් ආයතනය පාර්ශ්වයෙන් එහි ලේකම් මොහාන් ද සිල්වා මහතාත්, ඩැන්ඩිනොන් දිස්ත්‍රික් ක්‍රිකට් සංගමය වෙනුවෙන් එහි සභාපති මයිකල් හෝකිං මහතාත් අස්සන් තබා තිබේ.
නැගී එන යොවුන් ක්‍රීඩකයන්ට හිමිවූ මෙම අනගි අවස්ථාව වෙනුවෙන් එම ක්‍රීඩකයන් තෝරාගැනීම රංජිත් මධුරසිංහ, චමින්ද මෙන්ඩිස් ඇතුළු ජේ‍යෂ්ඨ තේරීම් කමිටුව විසින් සිදුකර ඇති බවද දැනගන්නට ඇත.
ගිවිසුම් ප්‍රකාරව අනුව ක්‍රීඩකයන් 12 දෙනකුට මේ සඳහා අවස්ථාව සැලසී තිබුණද පළමුව 8 දෙනකු තෝරා එහි සාර්ථකත්වය මත ඉදිරියේදී නියමිත පරිදි 12 දෙනා බැගින් සෑම වසරකදීම ඕස්ට්‍රේලියානු දේශීය ක්‍රිකට් තරගාවලියට සහභාගි කරවීමට අදහස් කරගෙන ඇති බවද වාර්තා වේ. 
ඒ අනුව අවුරුදු 20ට අඩු ක්‍රීඩකයන් වෙනුවෙන් සැකසුණු මෙම ක්‍රමවේදයට අනුව නැඟී එන පිතිකරුවන් වන කමිල් මිෂාර, රවිඳු රෂාන්ත, නවෝද් පරණවිතාන, මොහොමඩ් සමාස්, වේගපන්දු යවන ක්‍රීඩකයන් වන දිල්ෂාන් මධුෂංක, අම්ෂි ද සිල්වා, දඟ පන්දු යවන්නන් වන අශේන් ඩැනියෙල් හා කවිඳු නදීෂාන් යන ක්‍රීඩකයන් 8 දෙනා ඕස්ට්‍රේලියාවේ පැවැත්වීමට නියමිත අදාළ ක්‍රිකට් තරගාවලිය සඳහා සහභාගි කරවීමට කටයුතු යොදා තිබූ බව සඳහන්ය. 
මේ අතර පසුගිය වසරේ සිට මෙම තරගාවලිය දියත්වීමට නියමිතව තිබුණද කොවිඩ් වයිරසය හමුවේ මෙය කල්දැමීමට තීරණය විය. එහෙත් කොවිඩ් වයිරසයේ බලපෑම හීන වූ සැණින් මෙම කණ්ඩායම ඕස්ට්‍රේලියාව බලා පිටත් කර යැවීමට සූදානම්ව ඇති බවද පැවැසේ.",,
8,divaina.lk,news website,10/7/2020 0:00,හරීන් ප්‍රනාන්දු මන්ත්‍රීවරයා අද 07දා) පෙරවරුවේ පීසීආර් පරීක්ෂණයකට ලක්වී පැය කිහිපයකට පසු පාර්ලිමේන්තුවට පැමිණිම ගැන ආණ්ඩු පක්ෂයේ මන්ත්‍රීවරු විරෝධය පෑහ. තමා පීසීආර් පරීක්ෂාවකට ලක්වූයේ එම පරීක්ෂාවට ජනතාව තුළ ඇති බිය නැතිකර ගැනීමට මිස කොවිඞ් රෝග ලක්ෂණ මතුවීම නිසා නොවේයැයි මන්ත්‍රීවරයා පැවසීය.,,
9,nethnews.lk,news website,11/3/2020 0:00,"ලංකාව කොරෝනා වෛරසය මර්ධනය වන්නේ නම් තමන් මුහුදට බිලිවීමට පවා සුදානම් බව සෞඛ්‍ය අමාත්‍ය පවිත්‍රා වන්නිආරච්චි පාර්ලිමේන්තුවේදී ප්‍රකාශ කර සිටිනවා. සමාජ මාධ්‍යවල පළව තිබෙන ඇතැම් සටහන් සමබන්ධයෙන් අදහස් දක්වමින් මෙහිදී සෞඛ්‍ය අමාත්‍යවරිය කියා සිටියේ පසුගියදා තමන් සහභාගිවූ ආගමික කටයුත්තක් සම්බන්ධයෙන් ඇතැම් අය එය උපහාසයට ගෙන තිබෙන බවයි. ""මුහුණුපොතේ දාලා තියෙනවා පවිත්‍රා වන්නිආරච්චි ලංකාවේ කොවිඩ් මර්ධනය වෙන්න ඔයා මුහුදට බිලිවෙන්න කියලා.. ඇත්තටම එහෙම වෙනවානම් මම ඒකට ලෑස්ති"" සෞඛ්‍ය ඇමතිනිය පාර්ලිමේන්තුවේදී කියා සිටියේ. කොරෝනා මර්ධනයේ දී කිසිදු අවස්ථාවක එය දේශපාලනීකරණය නොවී සෞඛ්‍ය අංශවලට මුල්තැන දී කටයුතු කරන බවයි මෙහිදී සෞඛ්‍ය අමාත්‍යවරිය කියා සිටියේ.",,
10,divaina.lk,news website,10/6/2020 0:00,ගම්පහ පොලිස් වසමට අද (06දා) පස්වරු 6.00 සිට නැවත දැනුම්දෙන තුරු පොලිස් ඇඳිරිනීතිය ක්‍රියාත්මක බව යුද හමුදාපති සඳහන් කරයි.,,
