Embedding,Architecture,Accuracy,Macro F1,Weighted F1,ROC-AUC
XLM-R,GRU,0.8537414965986394,0.8495626822157434,0.8514388845917376,0.8997580044676098
XLM-R,BiLSTM,0.8537414965986394,0.8480291391683796,0.850233908702866,0.8882632166790767
XLM-R,TextCNN,0.8435374149659864,0.8414165103189493,0.8427888603846793,0.878211094564408
FastText,LSTM,0.8401360544217688,0.8355685131195336,0.8376192459491085,0.8523129188384214
XLM-R,Fine-tuned,0.8401360544217688,0.8347662836165353,0.8369952450828587,0.8788160833953835
FastText,BiLSTM,0.8401360544217688,0.8338923149049731,0.8363021792798767,0.8670886075949367
XLM-R,LSTM,0.8333333333333334,0.8263395817009223,0.8289474212926687,0.873650409530901
FastText,TextCNN,0.826530612244898,0.8248262164846077,0.8261192063717245,0.8841679076693968
mBERT,LSTM,0.8231292517006803,0.819793483898345,0.8216281561896295,0.8704160461653017
FastText,GRU,0.8197278911564626,0.8154032057433274,0.817517496389749,0.8343261355174982
mBERT,GRU,0.8061224489795918,0.8033352501437607,0.8050872036977117,0.8475893521965748
mBERT,Fine-tuned,0.8027210884353742,0.8009153318077803,0.802334140586604,0.7960954951600894
mBERT,TextCNN,0.8027210884353742,0.8003559218845127,0.8019819738882299,0.8369787788533135
mBERT,BiLSTM,0.7925170068027211,0.7910058151052896,0.7923356637990293,0.8613412137006702
