domain,source_type,datestamp,content,annotater1,annotater2,annotater3,ground_truth,ground_truth_label
sarasaviya.lk,news website,11/4/2021 0:00,අම්පාර ප්‍රදේශයේ පදිංචි වයස අවුරුදු 24ක් වයසැති කසුන් ජයසුරිය පසුගිය දින කිහිපයක සිට අතුරුදහන් වී ඇති බව අම්පාර පොලීසිය සඳහන් කරයි. ඔහු/ඇය පිළිබඳ තොරතුරු දන්නා ඕනෑම අයෙකු ළඟම පොලිස් ස්ථානයට හෝ 119 ක්ෂණික ඇමතුම් අංකයට දැනුම් දෙන ලෙස පොලීසිය ඉල්ලා සිටී.,False,False,False,0,FALSE
bbc.com/sinhala,news website,7/31/2020 0:00,"2020 පාර්ලිමේන්තු මැතිවරණයේදී බහුතර බලය අහිමි වුවහොත් ජාතික ආණ්ඩුවක් ගොඩනැගීම සඳහා වෙනත් පාර්ශ්වයකට සහය නොදී විපක්ෂයේ කටයුතු කරන බව එක්සත් ජාතික පක්ෂයේ නායක රනිල් වික්‍රමසිංහ පවසයි.2019 ජනාධිපතිවරණයේදී සිංහල ඡන්ද මිලියන දෙකත් දෙකහමාරත් අතර සංඛ්‍යාවක් එක්සත් ජාතික පක්ෂයට අහිමි වූ අතර, පක්ෂයට නව මුහුණු හඳුන්වා දෙමින් යළි ඡන්ද පදනම ගොඩනගන බව එක්සත් ජාතික පක්ෂ නායක රනිල් වික්‍රමසිංහ බීබීසී සිංහල සේවය සමග පැවසීය.සජිත් ප්‍රේමදාස ඇතුළු කණ්ඩායමක් පක්ෂයෙන් ඉවත්ව ගොස් නව බලවේගයක් ගොඩ නැගීම, එක්සත් ජාතික පක්ෂයේ ප්‍රතිපත්ති ප්‍රකාශනය, එක්සත් ජාතික පක්ෂයේ නායකත්වය වෙනත් අයෙකුට පැවරීම ආදී කරුණු ගණනාවක් සම්බන්ධයෙන් මෙහිදී රනිල් වික්‍රමසිංහ අදහස් පළ කළේය.මෙම තොරතුරු ද දැනගන්න:රනිල් වික්‍රමසිංහ - හෙණ්ඩුව අත නොහරින ඇතරුවා""රනිල් එජාප නායකත්වයෙන් ඉවත්වීමට සූදානම්""",True,True,True,1,TRUE
lankatruth.net,news website,5/16/2025 0:00,මන්නාරම වෙරළබඩ ප්‍රදේශයට සුනාමි අනතුරු ඇඟවීමක් නිකුත් කර ඇති බව කාලගුණ විද්‍යා දෙපාර්තමේන්තුව සඳහන් කරයි. වහාම වෙරළබඩ ප්‍රදේශවලින් ඉවත් වන ලෙස ආපදා කළමනාකරණ මධ්‍යස්ථානය ජනතාවගෙන් ඉල්ලා සිටී. අවශ්‍ය නම් ආරක්ෂිත මධ්‍යස්ථානවලට ගමන් කරන ලෙසද දැනුම් දී ඇත.,False,False,False,0,FALSE
gosip-lankanews.com,news website,10/24/2020 0:00,"කොළඹ හිල්ටන් හෝටලයේ සේවකයකුට කොවිඩ්-19 අසාධනය වීම හේතුවෙන් එහි මෙහෙයුම් තාවකාලිකව අත්හිටුවා ඇති බව වාර්තා වේ.කොළඹ හිල්ටන් හෝටලය පිහිටා ඇති ප්‍රදේශයෙන් කොවිඩ්-19 රෝගියෙකු සොයා ගත් නමුත් එය හෝටල් පරිශ්‍රයෙන්ද යන්න තහවුරු කිරීමට නොහැකි බවත්, ඒ සම්බන්ධයෙන් වැඩිදුර සොයාබලන බවත් කොළඹ මහ නගර සභාවේ සෞඛ්‍ය නිලධාරීන් විසින් පවසයි.අදාළ තත්ත්වය සම්බන්ධයෙන් එම හෝටල් කළමනාකාරිත්වය විසින් නිවේදනයක් නිකුත් කිරීමට සූදානමින් සිටින බවද පැවසේ.මේ අතරමෙහෙයුම් නතර කරන ලෙස ප්‍රදේශයේ පීඑච්අයි විසින් හෝටලයට දැනුම් දීමත් සමඟ ගෝල්ෆේස් හෝටලයද සිය මෙහෙයුම් කටයුතු තාවකාලිකව අත්හිටුවා ඇති බව වාර්තා වේ.සියලුම හෝටල් කාර්ය මණ්ඩලය අද (24) PCR පරීක්ෂණයකට භාජනය කිරීමට නියමිත බවද පැවසේ.ෂැංග්‍රිලා හෝටලයේ පැවැත්වීමට සූදානම් කර තිබූ උත්සව කිහිපයක් අත්හිටුවන ලෙස මහජන සෞඛ්‍ය පරීක්ෂකවරුන් විසින් හෝටල් පාලනාධිකාරියට දැනුම් දී ඇති බව වාර්තා වේ.කෙසේවුවද, එම හෝටලයෙන් ආසාදිතයකු හඳුනාගැනීම හේතුවෙන් මේ පියවර ගනු ලැබුවේද නොඑසේනම් පූර්ව ආරක්ෂක වැඩපිළිවෙලක් ලෙස මෙය සිදු කළේද යන්න මෙතෙක් වාර්තා වී නොමැත.- අරුණ",True,True,True,1,TRUE
newsfirst.lk,news website,10/26/2020 0:00,COLOMBO (News 1st) – මරණීය දණ්ඩනය නියම වී ඇති හිටපු පාර්ලිමේන්තු මන්ත්‍රී දුමින්ද සිල්වා මහතා නිදහස් කොට සමාජ ගතකළ යුතු බව දෙමළ ප්‍රගතිශීලි සන්ධානයේ නායන මනෝ ගනේෂන් මහතා නිවේදනයක් නිකුත් කරමින් පවසයි. ඝාතන චෝදනායවක් මත මරණ දඬුවම නියම වී සිරගත වී සිටින හිටපු කොළඹ දිස්ත්‍රික් පාර්ලිමේන්තු මන්ත්‍රී දුමින්ද සිල්වා මහතා අදාල සිද්ධිය සිදුවන අවස්ථාවේ මත්පැන් පානය කර සිටි බව මනෝ ගනේෂන් මහතා සිය ලිපියෙන් පෙන්වා දෙන්නේය. අදාල වරදට ඔහු මේ වනවිට අවුරුදු 05කට ආසන්න කාලයක් සිර දඬුවම් විද ඇති බව ගනේෂන් මහතාගේ ලිපියේ සඳහන් වේ. මානව හිමිකම් පිළිබඳව නිරත්තරයෙන් පෙනි සිටින දේශපාලනඥයකු වන තමන් ඉල්ලා සිටින්නේ තරුණයින් දීර්ඝ කාලයක් සිරගත නොකළ යුතුය යන්න බව මනෝ ගනේෂන් මහතා සිය ලිපිය මගින් පෙන්වා දී තිබේ. එබැවින් ඔවුන් කළ වැරදි නිවැරදි කරගෙන නිවැරදි මාර්ගයට යාමට අවස්තාව ලබාදිය යුතු බව මනෝ ගනේෂන් මහතා සිය ලිපියෙන් පෙන්වා දෙන්නේය. දුමින්ද සිල්වා මහතා වසර 5 ක් දඬුවම් විද ඇති බැවින් ඔහු පුනුරුත්ථාපනය වී ඇති බව තමන් විස්වාස කරන බව ද අදාල නිවේදනයේ සඳහන් වේ. එබැවින් ඔහුට යළි සමාජගතවීමට අවස්ථාවක් දියයුතු බව මනෝ ගනේෂන් මහතා පවසයි. දේශපාලන හේතු මත වූ චෝදනා නිසා දෙමළ දේශපාලන සිරකරුවනුත් දිර්ඝ කාලයක් සිරගත වී සිටින බව සඳහන් කරන මනෝ ගනේෂන් මහතා ඔවුන්වත් පුනරුත්ථාපනය කර ඔවුන්ගේ පවුල් සමග සාමාන්‍ය පරිදි ජීවත් විමේ අවස්ථාව ලබා දිය යුතු බව පවසයි.,True,True,True,1,TRUE
sarasaviya.lk,news website,9/17/2020 0:00,බොලිවුඩ් නළු සුෂාන්ත් සිං රාජ්පුත් පසුගිය ජුනි 14 වැනිදා උදෑසන මුම්බායි  බන්ද්‍රා හි පිහිටි නිවසේදී ගෙල වැළලා ගෙන සියදිවි ගත් බව ඉන්දීය මාධ්‍ය වාර්තා ගෙන ආවා. සුෂාන්ත්ගේ මූලික මරණ පරීක්ෂණයෙන් හෙළි කර සිටියේ  ඔහු මානසික අවපීඩනයෙන් පෙළෙනු පුද්ගලයකු බවයි.  සුෂාන්ත්ගේ මරණය සම්බන්ධයෙන් විවිධ කතා පැතිරුණු අතර ඔහුගේ මරණය ඝාතනයක් බව ඒ අතර පුමුඛ විය. සති කිහිපයක් ගත වන විට ඔහුගේ මරණය සම්බන්ධ පරීක්ෂණ කටයුතු වෙනත් අතකට හැරුණේ කෝටි ගණනක මුදල් ගනුදෙනුවක් හෙළි වීම සමඟින්.  රංගන ශිල්පී රියා චක්‍රවර්ති  ඇගේ සහෝදරයා සහ පවුලේ තවත් පුද්ගලයින් හය දෙනෙකු වගඋත්තරකරුවන් ලෙස නම් කරමින් සුෂාන්ත්ගේ පියා ක්‍රිෂ්ණ ක්‍රිෂෝර් සිං විසින් බිහාර් පොලිසියට ගොනු කරන ලද පැමිණිල්ලකට අනුව සුෂාන්ත්ගේ මරණය සම්බන්ධයෙන් කරන ලද විමර්ශණනයේදී රුපියල් කෝටි 15 ක් වටිනා සැක කටයුතු ගනුදෙනුවක් සිදුවී ඇති බව අනාවරණය විය.  මේ වන විට සුෂාන්ත්ගේ මරණය සමඟ තවත් තොරතුරු හෙළිදරව් වීම සමඟින් ඔහුගේ පෙම්වතිය වූ රියා චක්‍රවර්ති පසුගියදා මත්ද්‍රව්‍ය පාලන කාර්යාංශය විසින් අත්අඩංගුවට ගැනුනි. මියගිය නළු සුෂාන්ත් සිං රාජ්පුත් වෙනුවෙන් මත්ද්‍රව්‍ය මිලදී ගැනීමේදී ඇය කළ භූමිකාව හේතුවෙන් මත්ද්‍රව්‍ය පාලන කාර්යාංශය විසින් අත්අඩංගුවට ගැනීමෙන් පසු මුම්බායි අධිකරණය විසින් රියාහට දින 14ක අධිකරණ භාරයක් නියම කෙරුණි.  ඒ සමඟ ඇගේ සහෝදරයා වන ෂොයික් චක්‍රවර්ති  සුෂාන්ත් සිං රාජ්පුත්ගේ කළමනාකරු සැමුවෙල් මිරැන්ඩා සහ ඔහුගේ ගෘහ සේවිකා දීපේෂ් සාවන්ත් ද අත්අඩංගුවට ගෙන තිබේ. මත්ද්‍රව්‍ය පාලන කාර්යාංශය සුෂාන්ත් සිං රාජ්පුත් නඩුව සම්බන්ධයෙන් මේ වන විට රියා චක්‍රවර්ති සහ සහෝදර ෂොයික්ගෙන් ප්‍රශ්න කරමින් සිටී.  ඒ අනුව මත්ද්‍රව්‍ය පාලන කාර්යාංශය විසින් ඉදිරියේදි බොලිවුඩයේ තවත් නළු නිළියන්  අධ්‍යක්ෂකවරුන් සහ නිෂ්පාදකයින් ඇතුළු බොලිවුඩයේ ජනප්‍රිය පුද්ගලයින් විසිපස් දෙනෙකු ප්‍රශ්න කිරීම් වෙනුවෙන් කැඳවීමට නියමිත බවත් වාර්තා වේ.,False,False,False,0,FALSE
whatsapp,social media,4/27/2022 0:00,"හෙට දිනයේ සිට පෙට්‍රල් මිල රුපියල් 49කින් ඉහළ දැමීමට රජය තීරණය කර ඇති බව අදාළ අමාත්‍යාංශයේ ජ්‍යෙෂ්ඨ නිලධාරියෙක් සඳහන් කළේය. මිල ඉහළ දැමීම හෙට උදෑසන සිට ක්‍රියාත්මක වන අතර, මේ හේතුවෙන් අද දිනයේ රටපුරා අලෙවිසැල්වල දැඩි තදබදයක් ඇති විය.",False,False,False,0,FALSE
helalanka.lk,news website,12/30/2024 0:00,"හෙට දිනයේ සිට ගෑස් මිල රුපියල් 29කින් ඉහළ දැමීමට රජය තීරණය කර ඇති බව අදාළ අමාත්‍යාංශයේ ජ්‍යෙෂ්ඨ නිලධාරියෙක් සඳහන් කළේය. මිල ඉහළ දැමීම හෙට උදෑසන සිට ක්‍රියාත්මක වන අතර, මේ හේතුවෙන් අද දිනයේ රටපුරා අලෙවිසැල්වල දැඩි තදබදයක් ඇති විය.",False,False,False,0,FALSE
lankaenews.lk,news website,5/30/2025 0:00,"හෝමාගම ප්‍රදේශයේ පසුගිය සතිය තුළ පමණක් ඩෙංගු රෝගීන් 768ක් හඳුනාගෙන ඇති බව හෝමාගම මූලික රෝහලේ වෛද්‍ය අධ්‍යක්ෂවරයා පැවසීය. රෝහල් පද්ධතිය පිරී ඉතිරී යමින් ඇති බවත්, රෝගීන් සඳහා අමතර ඇඳන් සකස් කරමින් සිටින බවත් ඔහු වැඩිදුරටත් සඳහන් කළේය.",False,False,False,0,FALSE
aruna.lk,news website,11/1/2020 0:00,"මුල්ලේරියාව රෝහලේ අකර්මණ්‍යයව පැවති පී.සී.ආර්. පරීක්ෂණ යන්ත්‍රයේ කටයුතු හෙට සිට ආරම්භ කළ හැකි බව කොළඹ පිහිටි චීන තානාපති කාර්යාලය පවසයි.චීන තානාපති කාර්යාලයේ නිල ටිව්ටර් ගිණුම හරහා පණිවුඩයක් සටහන් කරමින් මේ බව සදහන් කර තිබේ.පැය 10ක පමණ කාලයක් සිදුකළ විමර්ශනවලදී චීනයෙන් පැමිණි නිලධාරීන් පවසා ඇත්තේ අදාළ යන්ත්‍ර සාමාන්‍ය පරිදි ක්‍රියාකරන බවයි.එම යන්ත‍්‍රය තබා ඇති මේසය හා සහයෝගිතා පරිසරය යන්ත්‍රය අස්ථායිතාවට හේතු විය හැකි බව චීන නිලධාරීන් පවසා ඇත. #PCRtest machine malfunction detected after 10h work: 1.Automated Molecular Extraction partly deviated 2.main machine normal 3.laboratory environment e.q. operation desk unstable might be the cause 4.a few rounds of verification to be run for 100% sure 5. to be resumed on Monday pic.twitter.com/k6fJwyGuqJ— Chinese Embassy in Sri Lanka (@ChinaEmbSL) October 31, 2020",True,True,True,1,TRUE
